ï»¿Exercise 1 [Total Pts: 5 Score] |1292496,Exercise 2 [Total Pts: 5 Score] |1293779,Exercise 3 [Total Pts: 5 Score] |1295703,Exercise 4 [Total Pts: 5 Score] |1298674,Exercise 5 [Total Pts: 5 Score] |1305116,Exercise 6 [Total Pts: 5 Score] |1302431,Exercise 7 [Total Pts: 5 Score] |1309942,Exercise 8 [Total Pts: 5 Score] |1309952,Exercise 9 [Total Pts: 5 Score] |1309468,Homework 1 [Total Pts: 20 Score] |1293619,Homework 2 [Total Pts: 20 Score] |1297002,Homework 3 [Total Pts: 20 Score] |1301007,Homework 4 [Total Pts: 20 Score] |1308148,Homework 5 [Total Pts: 20 Score] |1311965,Project 1 [Total Pts: 50 Score] |1305663,Project 2 [Total Pts: 50 Score] |1309818,Quiz 1 [Total Pts: 50 Score] |1297564,Quiz 2 [Total Pts: 50 Score] |1299119,Q34-max [Total Pts: 50 Score] |1311917,Midterm [Total Pts: 100 Score] |1302009,Final [Total Pts: 100 Score] |1313303,Weighted Total [Total Pts: up to 77.25 Percentage] |1258242,Q-min [Total Pts: 50 Score] |1308090,Bonus [Total Pts: 10 Score] |1305932,Grade [Total Pts: 0 Text] |1313307
6,3.5,6,5,5,5,4.5,6,4.5,12.5,18,20,11.5,12.5,46,49,42,40,43,64.5,63,71.93333,31,,C
6,6,6,,5,5,,,5,19,18,15,17.5,16.5,48,50,45.5,36,46,84.5,92,90.05,27,10,A-
6,6,5.5,,5,5,5,,4.5,16,18.5,20,17.5,18,45,48,50.5,50,50,96,97,96.49999,44,,A
4,4,5,,5,5,2.5,,,14,16.5,0,6.5,,19,,32.5,33,35,35.5,,46.73076,10,5,F
4.5,4,4,4,5,5,3,3.5,5,,14,15.5,13.5,16,42,40,28.5,35,33,71.5,79,75.48333,28,,C+
6,4,6,5,5,5,4.5,5,5,18,18,19.5,16,17,40,45,47,42,41,86,71,81.85416,28,8,B-
5,6,6,5,5,5,5,6,5,18.5,18.5,17.5,12.5,17,48,49,35,46,45,92,77,86.425,30,9,B+
6,4,6,5,,5,4,,4,17,17.5,19.5,3.5,20,37,48,50,43,49,95,90,90.71666,27,10,A-
5,3,5,4,5,5,3,3.5,4.5,8.5,19,18.5,9,16.5,46,47,47.5,38,44,80,89,84.60833,25,10,B
5,4,5,5,5,5,3,5,5,18.5,19.5,19.5,17.5,19.5,50,50,55,48,44,97.5,94,96.275,27,10,A
5,4,5,4,5,5,4.5,6,5,16.5,16,16.5,5.5,16,31,46,37,35,31,82.5,52,69.50416,19,,C
6,3,4,0,0,5,3.5,4,0,13.5,15,17,17,13.5,38,49,22,40,28,65,52,63.1875,19,7,D+
4.5,5,5,5,5,5,5,4.5,4.5,17.5,17,19,9,11.5,43,50,32,43,41,82.5,77,81.00833,29,,B-
6,5,6,0,5,5,4.5,6,0,20,19,19.5,15.5,12.5,38,45,49,46,36,80,78,81.67083,35,10,B-
4.5,5,5.5,3,5,5,3.5,3,4.5,16,19.5,19.5,18,17.5,49,50,43.5,45,50,90.5,82,88.53333,33,,A-
6,3,6,4,5,5,5,4,0,17.5,18,19.5,15.5,19.5,48,48,26,38,32,65,81,77.6,26,9,C+
4.5,5,5,5,5,5,1,0,4,18,18,19,16.5,19.5,40,50,42.5,30,32,69,68,73.87916,26,10,C+
3,4,5,4,5,5,4,6,4.5,19.5,18,19,10,18.5,43,45,34,37,37,75.5,61,73.1875,29,,C+
4,4,4,4,5,5,3.5,4,4,16.5,19.5,19,14,16,45,48,49,41,50,94,92,91.78333,33,9,A
3,2,5,4,0,5,4,2.5,5,20,19,17.5,12.5,18,45,48,40.5,34,24,76.5,58,71.62916,20,9,C
6,5.5,6,5,5,5,4,6,5,20,20,19.5,19.5,19.5,50,49,46,42,42,88.5,97,94.35416,37,10,A
4,4,5,5,5,5,2.5,6,5,17,16.5,19,7.5,18.5,45,48,45,38,40,90.5,75,83.625,22,10,B
4.5,1,5,0,4,5,4.5,5,5,16.5,,18.5,15,19,40,50,41,43,46,77.5,100,88.79166,30,,B+
4,5,6,5,5,5,3.5,6,5,19,19,20,15.5,18,43,48,49,39,44,86,90,89.475,36,9,A-
5,4.5,3,5,5,5,4,6,5,20,20,20,19,18.5,50,49,51,43,36,90,95,93.50416,35,6,A
5,6,6,5,5,5,3.5,5,5,18.5,19,16.5,13,15,48,45,45,48,29,95.5,90,91.03333,26,,A-
6,4.5,6,5,5,5,5,6,5,18.5,20,20,18.5,18,47,50,51,46,50,97,91,95.325,38,10,A
4.5,4,6,5,0,5,4.5,6,5,17.5,20,19,17,19,46,49,44,47,49,91,95,93.63333,36,8,A
5,2,3,5,0,5,2.5,0,,17.5,18.5,15.5,7,0,0,0,28.5,34,19,51.5,0,29.94761,0,6,F
6,4,5,5,5,5,5,2,4.5,16,17.5,19.5,15.5,17.5,40,46,47,41,37,94,90,90.17083,30,7,A-
5,5,5,3,5,5,4.5,4,4.5,18.5,19.5,19.5,16,18.5,48,49,53,46,50,92,92,93.38333,34,10,A
6,6,5,5,5,5,5,6,5,20,20,19,15,18.5,48,48,43,49,50,100,100,98.69166,43,,A
4.5,3,5,5,5,5,4,4,4.5,16,18,18.5,14.5,18.5,46,47,28,46,37,74.5,81,80.575,26,10,B-
4.5,4,6,5,5,5,5,4,4,20,19.5,18,16.5,17.5,49,50,46,45,48,86.5,87,89.52916,39,,A-
5,6,6,5,5,5,4.5,6,4.5,20,19.5,19.5,18.5,17.5,49,48,46.5,48,50,96,89,94.09583,32,10,A
5,,4,4,4.5,5,2.5,0,3.5,18,20,20,16,4,48,49,45.5,41,44,82,81,83.22142,30,10,B
2,6,6,5,,5,5,3,5,19,20,19,11,13.5,37,46,30,40,23,83,60,73.65,16,,C+
4,3,5,5,,5,5,6,5,19,19,17.5,13,13.5,43,49,38.5,42,36,64.5,64,71.91666,18,10,C
6,5.5,6,5,5,5,4.5,6,5,19.5,20,20,19.5,19.5,50,49,55,46,50,93.5,90,94.80416,43,10,A
6,3,4,5,5,,4,,3.5,13.5,17,19.5,7,17.5,42,45,50,48,38,75,66,75.39999,26,5,C+
5,5,6,5,5,5,4,5,5,18,20,18.5,16,18,42,49,44,48,41,81,69,80.59166,27,7,B-
6,4,6,5,5,5,4,6,5,18,19,19,17.5,19.5,49,49,47,41,44,89,85,89.6,26,10,A-
6,4.5,5.5,5,5,5,5,6,5,18.5,20,20,19,18,49,49,51,47,50,88,91,92.77916,42,,A
4,3.5,5,0,5,5,2.5,4,4.5,19.5,19.5,12.5,0,16.5,18,47,42.5,25,28,90,52,69.05416,21,10,C
6,0,5,5,,5,3,,4.5,17,18.5,17,12,13.5,25,46,40,42,35,90,57,74.4,23,,C+
5,6,4,5,,5,5,6,,18,20,17.5,17,17,48,48,47,37,50,98,93,94.76666,34,10,A
4,3,6,5,,5,5,,,14.5,0,15,16,15.5,47,47,46,34,45,63.5,80,75.88333,33,8,C+
6,4.5,6,5,5,5,4.5,3,4.5,18,18,20,19.5,19.5,49,50,48.5,46,50,88.5,95,93.89583,44,8,A
5,5.5,5,5,5,5,4,5,5,20,19.5,18.5,18.5,19.5,50,49,53,35,44,98,100,97.7625,29,10,A
5.5,5,6,5,5,5,4.5,6,4.5,20,19.5,19,19,17.5,47,49,48,49,50,98,95,96.8,43,,A
3,3,5,5,5,5,4,5.5,4.5,19,20,19,14.5,17.5,48,47,46,45,35,83,73,81.975,31,9.5,B
6,4,6,5,5,5,4.5,5,5,19,18.5,18.5,15,19.5,42,48,36.5,38,35,82,74,81.0375,30,8,B-
4,5,6,4,5,5,4,6,5,20,19,19.5,18,18.5,48,49,44,48,50,97.5,90,94.41666,34,,A
6,4,6,5,5,5,4,5,5,17.5,20,19.5,13.5,19.5,41,47,32.5,37,16,84,48,70.625,11,10,C
5,5,6,3,5,5,4,5,5,18,18,19.5,14.5,17,45,40,42,45,40,68.5,77,78.16666,27,9,B-
4,4,5,3,5,5,4,5,4.5,17.5,17,16.5,13.5,11,40,44,42,33,38,77,92,83.34583,25,10,B
3,4,5,5,5,5,5,2.5,5,19.5,19,19.5,13.5,16,45,45,47,48,31,76.5,93,86.275,28,9,B+
6,6,6,5,5,5,4.5,5,5,19.5,19.5,18,12.5,16.5,44,47,24,35,27,78.5,42,67.05833,14,10,D+
4,5,5,5,5,5,5,4.5,4.5,20,20,18.5,14.5,20,49,50,49,49,50,85,94,92.34166,35,,A
3,6,4,5,5,5,4.5,6,5,17,18.5,19,19.5,17.5,44,50,43.5,44,50,90,91,91.62916,37,9,A
6,4.5,6,,5,5,5,5,,19,19,20,15.5,17.5,40,48,36,46,31,79,60,75.46666,21,9,C+
5,3,6,5,5,5,4,4,5,20,19.5,19.5,12.5,18,47,48,39.5,47,31,84.5,74,82.40833,26,,B
5,6,6,5,5,5,5,6,5,19,20,20,15.5,17,49,50,41,42,28,89,85,88.275,14,7,B+
,6,6,5,5,5,,6,5,20,19.5,18.5,18.5,0,45,50,54,49,50,96,91,93.5,44,,A
